title,first_author,year,pdf_url
Robust Fitting on a Gate Quantum Computer,Frances Fengyi Yang,2024,http://arxiv.org/pdf/2409.02006v1
Quantum-Powered Personalized Learning,Yifan Zhou,2024,http://arxiv.org/pdf/2408.15287v1
ReCon: Reconfiguring Analog Rydberg Atom Quantum Computers for Quantum Generative Adversarial Networks,Nicholas S. DiBrita,2024,http://arxiv.org/pdf/2408.13389v2
A methodical approach to evaluate the potential of Quantum Computing for Manufacturing Simulations,Stefan Schröder,2024,http://arxiv.org/pdf/2408.08730v1
A Feasible Design of Elementary Quantum Arithmetic Logic Units for Near-Term Quantum Computers,Junxu Li,2024,http://arxiv.org/pdf/2408.06561v2
Modular Architectures and Entanglement Schemes for Error-Corrected Distributed Quantum Computation,Siddhant Singh,2024,http://arxiv.org/pdf/2408.02837v1
On the Hardness of Measuring Magic,Roy J. Garcia,2024,http://arxiv.org/pdf/2408.01663v1
Quantum annealer accelerates the variational quantum eigensolver in a triple-hybrid algorithm,Manpreet Singh Jattana,2024,http://arxiv.org/pdf/2407.11818v1
Advancing Quantum Computing with Formal Methods,Arend-Jan Quist,2024,http://arxiv.org/pdf/2407.11675v1
Superselection rules and bosonic quantum computational resources,Eloi Descamps,2024,http://arxiv.org/pdf/2407.03138v2
Tensor Decompositions and Adiabatic Quantum Computing for Discovering Practical Matrix Multiplication Algorithms,Valter Uotila,2024,http://arxiv.org/pdf/2406.13412v1
Chebyshev Approximated Variational Coupled Cluster for Quantum Computing,Luca Erhart,2024,http://arxiv.org/pdf/2406.07364v1
Parallel Quantum Computing Simulations via Quantum Accelerator Platform Virtualization,Daniel Claudino,2024,http://arxiv.org/pdf/2406.03466v1
Intro to Quantum Harmony: Chords in Superposition,Christopher Dobrian,2024,http://arxiv.org/pdf/2404.13140v1
Parallel Quantum Local Search via Evolutionary Mechanism,Chen-Yu Liu,2024,http://arxiv.org/pdf/2406.06445v1
What You Shouldn't Know About Quantum Computers,Chris Ferrie,2024,http://arxiv.org/pdf/2405.15838v1
Quantum Algorithms for tensor-SVD,Jezer Jojo,2024,http://arxiv.org/pdf/2405.19485v1
Quantum computation over the vibrational modes of a single trapped ion,Alexandre C. Ricardo,2024,http://arxiv.org/pdf/2412.15025v1
Variational quantum compiling for three-qubit gates design in quantum dots,Yuanyang Zhou,2024,http://arxiv.org/pdf/2412.06276v1
New Design of three-qubit system with three transmons and a single fixed-frequency resonator coupler,Jeongsoo Kang,2024,http://arxiv.org/pdf/2412.15629v1
Universal quantum computation using Ising anyons from a non-semisimple Topological Quantum Field Theory,Filippo Iulianelli,2024,http://arxiv.org/pdf/2410.14860v1
Solving Combinatorial Optimization Problems on a Photonic Quantum Computer,Mateusz Slysz,2024,http://arxiv.org/pdf/2409.13781v1
Towards Equivalence Checking of Classical Circuits Using Quantum Computing,Nils Quetschlich,2024,http://arxiv.org/pdf/2408.14539v1
Benchmarking quantum computers,Timothy Proctor,2024,http://arxiv.org/pdf/2407.08828v1
Quantum computer specification for nuclear structure calculations,Ching-Hwa Wee,2024,http://arxiv.org/pdf/2406.16165v1
Comprehensive characterization of three-qubit Grover search algorithm on IBM's 127-qubit superconducting quantum computers,M. AbuGhanem,2024,http://arxiv.org/pdf/2406.16018v1
From Quantum Mechanics to Quantum Software Engineering: A Historical Review,Giuseppe Bisicchia,2024,http://arxiv.org/pdf/2404.19428v2
A Machine Learning-Based Error Mitigation Approach For Reliable Software Development On IBM'S Quantum Computers,Asmar Muqeet,2024,http://arxiv.org/pdf/2404.12892v1
Towards Energetic Quantum Advantage in Trapped-Ion Quantum Computation,Francisca Góis,2024,http://arxiv.org/pdf/2404.11572v1
Review of Distributed Quantum Computing. From single QPU to High Performance Quantum Computing,David Barral,2024,http://arxiv.org/pdf/2404.01265v1
Unconditional verification of quantum computation with classical light,Yuki Takeuchi,2024,http://arxiv.org/pdf/2403.14142v2
QCEDA: Using Quantum Computers for EDA,Matthias Jung,2024,http://arxiv.org/pdf/2403.12998v1
Verification of Quantum Computations without Trusted Preparations or Measurements,Elham Kashefi,2024,http://arxiv.org/pdf/2403.10464v1
Scalable Quantum Algorithms for Noisy Quantum Computers,Julien Gacon,2024,http://arxiv.org/pdf/2403.00940v1
Quantum Computing in Logistics and Supply Chain Management an Overview,Frank Phillipson,2024,http://arxiv.org/pdf/2402.17520v1
Does True Randomness Exist? Efficacy Testing IBM Quantum Computers via Statistical Randomness,Owen Root,2024,http://arxiv.org/pdf/2401.12250v1
Measurement-based quantum computation in symmetry protected topological states of one-dimensional integer spin systems,Wang Yang,2024,http://arxiv.org/pdf/2409.16109v1
Qompose: A Technique to Select Optimal Algorithm- Specific Layout for Neutral Atom Quantum Architectures,Daniel Silver,2024,http://arxiv.org/pdf/2409.19820v1
Exploring lattice supersymmetry with variational quantum deflation,David Schaich,2024,http://arxiv.org/pdf/2410.11514v1
Topological quantum computing,Fabian Hassler,2024,http://arxiv.org/pdf/2410.13547v2
Transversal non-Clifford gates for quantum LDPC codes on sheaves,Ting-Chun Lin,2024,http://arxiv.org/pdf/2410.14631v1
How to Design a Quantum Streaming Algorithm Without Knowing Anything About Quantum Computing,John Kallaugher,2024,http://arxiv.org/pdf/2410.18922v1
Classical simulation of universal measurement-based quantum computation using multipartite Bell scenarios,Cihan Okay,2024,http://arxiv.org/pdf/2410.23734v1
Resource-optimized fault-tolerant simulation of the Fermi-Hubbard model and high-temperature superconductor models,Angus Kan,2024,http://arxiv.org/pdf/2411.02160v1
High order schemes for solving partial differential equations on a quantum computer,Boris Arseniev,2024,http://arxiv.org/pdf/2412.19232v1
Implicit Test Oracles for Quantum Computing,William B. Langdon,2024,http://arxiv.org/pdf/2409.14076v1
Introducing UNIQuE: The Unconventional Noiseless Intermediate Quantum Emulator,Reece Robertson,2024,http://arxiv.org/pdf/2409.07000v1
Homomorphic Encryption Based on Lattice Post-Quantum Cryptography,Abel C. H. Chen,2024,http://arxiv.org/pdf/2501.03249v1
Characteristics and Implementation of B$^α$ Gates,M. Karthick Selvan,2024,http://arxiv.org/pdf/2405.19913v2
Encoding lattice structures in Quantum Computational Basis States,Kalyan Dasgupta,2024,http://arxiv.org/pdf/2406.01547v1
Use of Electron Paramagnetic resonance (EPR) technique to build quantum computers: n-qubit (n=1,2,3,4) Toffoli Gates,Sayan Manna,2024,http://arxiv.org/pdf/2411.09010v1
Resource-Optimized Grouping Shadow for Efficient Energy Estimation,Min Li,2024,http://arxiv.org/pdf/2406.17252v1
Towards View-based Development of Quantum Software,Joshua Ammermann,2024,http://arxiv.org/pdf/2406.18363v1
Cyber Protection Applications of Quantum Computing: A Review,Ummar Ahmed,2024,http://arxiv.org/pdf/2406.13259v3
Globally driven superconducting quantum computing architecture,Roberto Menta,2024,http://arxiv.org/pdf/2407.01182v2
Pauli quantum computing: $I$ as $|0\rangle$ and $X$ as $|1\rangle$,Zhong-Xia Shang,2024,http://arxiv.org/pdf/2412.03109v1
Quantum Error Correction near the Coding Theoretical Bound,Daiki Komoto,2024,http://arxiv.org/pdf/2412.21171v2
CRUISE on Quantum Computing for Feature Selection in Recommender Systems,Jiayang Niu,2024,http://arxiv.org/pdf/2407.02839v1
Efficient classical simulation of quantum computation beyond Wigner positivity,Michael Zurel,2024,http://arxiv.org/pdf/2407.10349v1
Quantum vs. Symplectic Computers,Igor Volovich,2024,http://arxiv.org/pdf/2407.12755v1
Qubernetes: Towards a Unified Cloud-Native Execution Platform for Hybrid Classic-Quantum Computing,Vlad Stirbu,2024,http://arxiv.org/pdf/2408.01436v1
An Introduction to Quantum Reinforcement Learning (QRL),Samuel Yen-Chi Chen,2024,http://arxiv.org/pdf/2409.05846v1
Distributed Quantum Computation with Minimum Circuit Execution Time over Quantum Networks,Ranjani G Sundaram,2024,http://arxiv.org/pdf/2405.07499v1
Benefits of non-adiabatic quantum control in quantum computation through spin qubit systems,Nirupam Dutta,2024,http://arxiv.org/pdf/2403.11288v1
Effectiveness of the syndrome extraction circuit with flag qubits on IBM quantum hardware,Younghun Kim,2024,http://arxiv.org/pdf/2403.10217v2
Tensor Network Based HOBO Solver,Yuichiro Minato,2024,http://arxiv.org/pdf/2407.16106v1
Pascal's pyramid and number projection operators for quantum computation,Dario Picozzi,2024,http://arxiv.org/pdf/2407.16561v1
Analyzing Quantum Circuit Depth Reduction with Ancilla Qubits in MCX Gates,Ahmad Bennakhi,2024,http://arxiv.org/pdf/2408.01304v1
Improving Quantum Developer Experience with Kubernetes and Jupyter Notebooks,Otso Kinanen,2024,http://arxiv.org/pdf/2408.06756v1
Verification of Quantum Circuits through Discrete-Time Barrier Certificates,Marco Lewis,2024,http://arxiv.org/pdf/2408.07591v1
Bee-yond the Plateau: Training QNNs with Swarm Algorithms,Rubén Darío Guerrero,2024,http://arxiv.org/pdf/2408.08836v1
Phase kickback in quantum Recursive Fourier Sampling,Christoffer Hindlycke,2024,http://arxiv.org/pdf/2408.15938v1
Optimization of Postselection in Quantum Algorithms: A Two-Way Quantum Computing Approach,Alex Linden,2024,http://arxiv.org/pdf/2409.03785v1
Extracting and Storing Energy From a Quasi-Vacuum on a Quantum Computer,Songbo Xie,2024,http://arxiv.org/pdf/2409.03973v1
Photonic Quantum Computers,M. AbuGhanem,2024,http://arxiv.org/pdf/2409.08229v1
QuantumLLMInstruct: A 500k LLM Instruction-Tuning Dataset with Problem-Solution Pairs for Quantum Computing,Shlomo Kashani,2024,http://arxiv.org/pdf/2412.20956v1
Encoded probabilistic imaginary-time evolution on a trapped-ion quantum computer for ground and excited states of spin qubits,Hirofumi Nishi,2024,http://arxiv.org/pdf/2407.10555v2
$Classi|Q\rangle$ Towards a Translation Framework To Bridge The Classical-Quantum Programming Gap,Matteo Esposito,2024,http://arxiv.org/pdf/2406.06764v3
A hybrid quantum-classical framework for computational fluid dynamics,Chuang-Chao Ye,2024,http://arxiv.org/pdf/2406.16595v1
Generalized Gibbs ensembles in weakly interacting dissipative systems and digital quantum computers,Iris Ulčakar,2024,http://arxiv.org/pdf/2406.17033v1
Route-Forcing: Scalable Quantum Circuit Mapping for Scalable Quantum Computing Architectures,Pau Escofet,2024,http://arxiv.org/pdf/2407.17306v1
Tensor Network enhanced Dynamic Multiproduct Formulas,Niall F. Robertson,2024,http://arxiv.org/pdf/2407.17405v3
Empowering the Quantum Cloud User with QRIO,Shmeelok Chakraborty,2024,http://arxiv.org/pdf/2407.17676v2
Quantum Computing Universal Thermalization Dynamics in a (2+1)D Lattice Gauge Theory,Niklas Mueller,2024,http://arxiv.org/pdf/2408.00069v1
A Quantum Approximate Optimization Method For Finding Hadamard Matrices,Andriyan Bayu Suksmono,2024,http://arxiv.org/pdf/2408.07964v3
Understanding and mitigating noise in molecular quantum linear response for spectroscopic properties on quantum computers,Karl Michael Ziems,2024,http://arxiv.org/pdf/2408.09308v1
Character Complexity: A Novel Measure for Quantum Circuit Analysis,Daksh Shami,2024,http://arxiv.org/pdf/2408.09641v3
Quantum-machine-assisted Drug Discovery: Survey and Perspective,Yidong Zhou,2024,http://arxiv.org/pdf/2408.13479v3
Data Management in the Noisy Intermediate-Scale Quantum Era,Rihan Hai,2024,http://arxiv.org/pdf/2409.14111v1
Dynamically Optimized Nonadiabatic Holonomic Quantum Computation,Hai Xu,2024,http://arxiv.org/pdf/2409.15665v1
Universal quantum computing with a single arbitrary gate,Zhong-Yi Ni,2024,http://arxiv.org/pdf/2409.20025v1
Opinion: The simplest quantum computer,Charles Tahan,2024,http://arxiv.org/pdf/2412.18726v1
Game Semantics for Higher-Order Unitary Quantum Computation,Samson Abramsky,2024,http://arxiv.org/pdf/2404.06646v1
A Photonic Parameter-shift Rule: Enabling Gradient Computation for Photonic Quantum Computers,Axel Pappalardo,2024,http://arxiv.org/pdf/2410.02726v1
Towards a benchmark for quantum computers based on an iterated post-selective protocol,Adrian Ortega,2024,http://arxiv.org/pdf/2410.07056v1
Quantum simulation of single-server Markovian queues: A dynamic amplification approach,Michal Koren,2024,http://arxiv.org/pdf/2410.08252v1
High-dimensional counterdiabatic quantum computing,Diego Tancara,2024,http://arxiv.org/pdf/2410.10622v1
Technical Report: Toward Applying Quantum Computing to Network Verification,Kahlil Dozier,2024,http://arxiv.org/pdf/2410.17184v2
A practical applicable quantum-classical hybrid ant colony algorithm for the NISQ era,Qian Qiu,2024,http://arxiv.org/pdf/2410.17277v1
The Role of Community Building and Education as Key Pillar of Institutionalizing Responsible Quantum,Sanjay Vishwakarma,2024,http://arxiv.org/pdf/2410.17285v1
Quantum Computing Education in Latin America: Experiences and Strategies,Laura Tenjo-Patiño,2024,http://arxiv.org/pdf/2410.18307v2
Quantum Computational Insurance and Actuarial Science,Huan-Yu Liu,2024,http://arxiv.org/pdf/2410.20841v1
Improved separation between quantum and classical computers for sampling and functional tasks,Simon C. Marshall,2024,http://arxiv.org/pdf/2410.20935v1
Bilevel Model for Electricity Market Mechanism Optimisation via Quantum Computing Enhanced Reinforcement Learning,Shuyang Zhu,2024,http://arxiv.org/pdf/2410.20968v1
On-Chip Verified Quantum Computation with an Ion-Trap Quantum Processing Unit,Cica Gustiani,2024,http://arxiv.org/pdf/2410.24133v2
Self-testing memory-bounded quantum computers,Jan Nöller,2024,http://arxiv.org/pdf/2411.04215v1
Using Reinforcement Learning to Guide Graph State Generation for Photonic Quantum Computers,Yingheng Li,2024,http://arxiv.org/pdf/2412.01038v1
Quantum Algorithm for a Stochastic Multicloud Model,Kazumasa Ueno,2024,http://arxiv.org/pdf/2406.11350v2
A modular entanglement-based quantum computer architecture,Ferran Riera-Sàbat,2024,http://arxiv.org/pdf/2406.05735v2
Predicting Chaotic Systems with Quantum Echo-state Networks,Erik Connerty,2024,http://arxiv.org/pdf/2412.07910v1
NordIQuEst: the Nordic-Estonian Quantum Computing e-Infrastructure Quest,Costantino Carugno,2024,http://arxiv.org/pdf/2406.02216v1
Quantum Computing for Multi Period Asset Allocation,Queenie Sun,2024,http://arxiv.org/pdf/2410.11997v1
Power System Fault Diagnosis with Quantum Computing and Efficient Gate Decomposition,Xiang Fei,2024,http://arxiv.org/pdf/2401.09800v1
Digital-Analog Quantum Computing and Algorithms,Ana Martin,2024,http://arxiv.org/pdf/2401.10622v1
Improving Zero-noise Extrapolation for Quantum-gate Error Mitigation using a Noise-aware Folding Method,Leanghok Hour,2024,http://arxiv.org/pdf/2401.12495v2
Discovery of an exchange-only gate sequence for CNOT with record-low gate time using reinforcement learning,Violeta N. Ivanova-Rohling,2024,http://arxiv.org/pdf/2402.10559v1
Quantum algorithms in distributed quantum computing,Sreraman Muralidharan,2024,http://arxiv.org/pdf/2402.10745v2
A heuristic for solving the irregular strip packing problem with quantum optimization,Paul-Amaury Matt,2024,http://arxiv.org/pdf/2402.17542v1
Quantum Dynamical Hamiltonian Monte Carlo,Owen Lockwood,2024,http://arxiv.org/pdf/2403.01775v2
Classification of the Fashion-MNIST Dataset on a Quantum Computer,Kevin Shen,2024,http://arxiv.org/pdf/2403.02405v1
Characterizing Dynamic Majorana Hybridization for Universal Quantum Computing,Themba Hodge,2024,http://arxiv.org/pdf/2403.02481v1
Graph Learning for Parameter Prediction of Quantum Approximate Optimization Algorithm,Zhiding Liang,2024,http://arxiv.org/pdf/2403.03310v1
An Architecture for Noise-Aware Distributed Quantum Computation,Sanidhya Gupta,2024,http://arxiv.org/pdf/2403.07596v1
On the Theory of Quantum and Towards Practical Computation,Robert Kudelić,2024,http://arxiv.org/pdf/2403.09682v1
AQM: A Refresh of the Abstract Qubit Model for Quantum Computing Co-design,Chenxu Liu,2024,http://arxiv.org/pdf/2403.11329v2
Post-Quantum Cryptography: Securing Digital Communication in the Quantum Era,G S Mamatha,2024,http://arxiv.org/pdf/2403.11741v1
Review on Quantum Walk Computing: Theory, Implementation, and Application,Xiaogang Qiang,2024,http://arxiv.org/pdf/2404.04178v1
Quantum computing topological invariants of two-dimensional quantum matter,Marcel Niedermeier,2024,http://arxiv.org/pdf/2404.06048v3
Vibrational ADAPT-VQE: Critical points leads to problematic convergence,Marco Majland,2024,http://arxiv.org/pdf/2404.06770v1
Quantum Computing for All: Online Courses Built Around Interactive Visual Quantum Circuit Simulator,Juha Reinikainen,2024,http://arxiv.org/pdf/2404.10328v2
Paving the Way to Hybrid Quantum-Classical Scientific Workflows,Sandeep Suresh Cranganore,2024,http://arxiv.org/pdf/2404.10389v1
Exploration of Quantum Computing in Materials Discovery for Direct Air Capture Applications,Marco Antonio Barroca,2024,http://arxiv.org/pdf/2404.13122v3
Accurate Chemical Reaction Modeling on Noisy Intermediate-Scale Quantum Computers Using a Noise-Resilient Wavefunction Ansatz,Xiongzhi Zeng,2024,http://arxiv.org/pdf/2404.14038v1
Quantum computational advantage with constant-temperature Gibbs sampling,Thiago Bergamaschi,2024,http://arxiv.org/pdf/2404.14639v2
Atomicity in Distributed Quantum Computing,Zhicheng Zhang,2024,http://arxiv.org/pdf/2404.18592v1
Rapidly Achieving Chemical Accuracy with Quantum Computing Enforced Language Model,Honghui Shang,2024,http://arxiv.org/pdf/2405.09164v1
Quantum Computing Education for Computer Science Students: Bridging the Gap with Layered Learning and Intuitive Analogies,Anila Mjeda,2024,http://arxiv.org/pdf/2405.09265v1
Scalability enhancement of quantum computing under limited connectivity through distributed quantum computing,Shao-Hua Hu,2024,http://arxiv.org/pdf/2405.10942v2
Simon algorithm in measurement-based quantum computing,Maximilian Schwetz,2024,http://arxiv.org/pdf/2405.18143v1
Parallel transport in rotating frames and projective holonomic quantum computation,Ole Sönnerborn,2024,http://arxiv.org/pdf/2405.20812v3
Modeling and Simulating Rydberg Atom Quantum Computers for Hardware-Software Co-design with PachinQo,Jason Zev Ludmir,2024,http://arxiv.org/pdf/2412.07181v1
On the Protection Against Noise for Measurement-Based Quantum Computation,Valentin Vankov Iliev,2024,http://arxiv.org/pdf/2412.11903v1
From Entanglement to Universality: A Multiparticle Spacetime Algebra Approach to Quantum Computational Gates Revisited,Carlo Cafaro,2024,http://arxiv.org/pdf/2405.08152v2
GPT on a Quantum Computer,Yidong Liao,2024,http://arxiv.org/pdf/2403.09418v1
Quantum Computing and Atmospheric Dynamics: Exploring the Lorenz System,V. Armaos,2024,http://arxiv.org/pdf/2401.03475v1
